"Name","activation","lr","num_epochs","num_hidden_layers","num_neurons_per_layer","optimizer","train_loss","train_acc","train_f1","train_precision","train_recall","val_loss","val_acc","val_f1","val_precision","val_recall"
"dashing-sweep-458","relu","0.0001","100","16","16","mini-batch","1.4212252782311947","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.3666250591459403","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"effortless-sweep-462","sigmoid","0.00001","50","4","8","sgd","1.905401338614953","0.40043763676148797","0.2812535612535612","0.16666666666666666","0.900072939460248","1.8728152056210228","0.4298245614035088","0.28149158708503863","0.16666666666666666","0.9049707602339181"
"restful-resonance-495","relu","0.00001","100","8","16","sgd","1.3496327977445508","0.4234135667396061","0.27904490612527516","0.1676223594256381","0.8322832992072242","1.3395572421099275","0.4298245614035088","0.28628538870363623","0.17006802721088435","0.9041297935103244"
"generous-sunset-462","relu","0.00001","50","16","4","sgd","1.711726118803549","0.4212253829321663","0.28142216164025674","0.16666666666666666","0.9035375638220277","1.7081073204692305","0.42105263157894735","0.2814207650273224","0.16666666666666666","0.9035087719298245"
"zesty-sweep-397","relu","0.0001","50","16","4","sgd","1.3614974257879255","0.4212253829321663","0.28142216164025674","0.16666666666666666","0.9035375638220277","1.3364995540124982","0.42105263157894735","0.2814207650273224","0.16666666666666666","0.9035087719298245"
"morning-sweep-402","relu","0.0001","50","16","4","batch","1.7908152396509147","0.4212253829321663","0.28142216164025674","0.16666666666666666","0.9035375638220277","1.790774095078625","0.42105263157894735","0.2814207650273224","0.16666666666666666","0.9035087719298245"
"misty-sweep-403","relu","0.0001","50","16","4","mini-batch","1.7393561831280526","0.4212253829321663","0.28142216164025674","0.16666666666666666","0.9035375638220275","1.7369362359886664","0.42105263157894735","0.2814207650273224","0.16666666666666666","0.9035087719298244"
"deep-sweep-404","relu","0.0001","50","16","8","sgd","1.185788328446121","0.41684901531728663","0.2713914354178769","0.16498001088165024","0.7644740083764473","1.1486868684282838","0.42105263157894735","0.27188689505165853","0.16666666666666666","0.7374631268436578"
"elated-sweep-342","relu","0.00001","100","16","4","mini-batch","1.7808642772001246","0.4212253829321663","0.28142216164025674","0.16666666666666666","0.9035375638220277","1.780370692081204","0.42105263157894735","0.2814207650273224","0.16666666666666666","0.9035087719298245"
"whole-sweep-341","relu","0.00001","100","16","4","batch","1.7915704987856556","0.4212253829321663","0.28142216164025674","0.16666666666666666","0.9035375638220277","1.7915622671887212","0.42105263157894735","0.2814207650273224","0.16666666666666666","0.9035087719298245"
"swept-sweep-405","relu","0.0001","50","16","16","sgd","1.1736670244599592","0.4234135667396061","0.27783878033953074","0.1676223594256381","0.8112748107223245","1.1529599030216728","0.42105263157894735","0.2814207650273224","0.16666666666666666","0.9035087719298245"
"dark-fog-499","relu","0.00001","100","16","4","batch","1.7915704987856556","0.4212253829321663","0.28142216164025674","0.16666666666666666","0.9035375638220277","1.7915622671887212","0.42105263157894735","0.2814207650273224","0.16666666666666666","0.9035087719298245"
